gene,sander,lof_z,ios,exac,pNull,pRec,miss_z,zhang,krish,n_syn,mu_lof,mu_mis,mu_syn,bp,DF,EC,AS,CE,core,Hub
ADCY1,0.544506255,1.624694348,-1.258157599,1.609097279,-0.590753996,-1.320350717,3.126819902,2.013137831,2.424000707,1.161849455,0.656400988,1.396251738,1.778367076,0.842653799,-0.018846937,-0.134925638,-0.124311925,-0.253314126,-0.064224086,-0.11693861
SCN2A,-7.13782363,2.634860867,-1.781292993,1.609318001,-0.590753996,-1.320593981,3.384759628,1.800452284,2.947354157,1.592820608,2.035398927,1.82856407,1.357624489,2.287704173,-0.175548145,-0.135115559,-0.124314452,-0.261462583,-0.518980189,-0.11730108
SF3B1,-2.919323043,2.423534689,-1.67355623,1.609317955,-0.590753996,-1.320593929,4.158164063,1.366829949,0.537494083,0.536941284,1.555453566,0.847953171,0.457702844,1.144385536,12.87464866,4.03966552,0.068007567,8.473338738,6.120458923,5.808023233
PPFIA3,0.552621806,2.144595834,-1.449816458,1.609317031,-0.590753996,-1.320592912,3.667582953,1.595109937,1.10344607,1.107978061,1.278302019,1.702033631,1.673181429,0.964977476,-0.257551326,-0.135007843,-0.124128066,-0.251508276,-0.155175306,-0.117362132
GRIN1,0.534888234,1.101443781,-1.483629347,1.542663071,-0.590753793,-1.247148314,4.24296746,1.329043071,3.422023566,0.741652581,0.521205112,1.280265503,1.708243311,0.555600903,2.585878715,-0.131065548,-0.118684989,-0.112806325,1.845751549,-0.11474518
HCFC1,0.574407968,1.77960189,-1.749271123,1.60930809,-0.590753996,-1.320583049,3.627970617,1.530920161,0.257560842,2.066888875,1.413497896,3.035875338,3.835330834,2.336633644,1.203916486,-0.057253243,-0.063068209,0.259885045,1.209093004,-0.020868852
ACTN4,0.532005741,1.667053705,-1.541493082,1.609293121,-0.590753996,-1.320566552,2.693810158,2.00779571,1.371208301,1.183398013,0.527964906,0.942851,1.21737696,0.503409468,0.171339636,-0.131972275,-0.119778918,-0.055596739,1.027190563,-0.117194912
CACNA1A,0.562860907,3.113596887,-1.776530059,1.609318021,-0.590753996,-1.320594002,3.766410296,1.430381914,3.087320778,3.413673727,3.813224701,4.83382015,5.085871301,3.104826337,0.955288828,-0.134760876,-0.124168403,-0.217006453,1.209093004,-0.116996065
DNMT1,0.566917752,2.878424334,-1.752124947,1.609318018,-0.590753996,-1.320594001,3.288459647,1.67329293,0.178449274,2.174631663,2.177354597,2.213427487,2.292608015,1.679347751,1.055745988,-0.10273489,-0.094729552,0.067456873,0.66338568,-0.084865479
CREBBP,-1.28496258,3.454448475,-1.782040891,1.609318021,-0.590753996,-1.320594002,2.792433474,1.901205021,2.515283286,4.28639031,3.33327934,3.357473536,3.426275541,3.000443466,3.465532373,0.154785549,0.275562108,1.084516069,1.754800329,0.025441048
PHIP,0.553042414,2.97426978,-1.517560326,1.609317894,-0.590753996,-1.320593861,2.567098962,2.018756536,-0.369246197,1.248043686,3.089926762,1.570231091,1.030380254,1.987603418,-0.277599755,-0.132494023,-0.121875947,-0.223151269,-0.518980189,-0.115035081
MTOR,0.452123149,3.906195686,-1.788831023,1.609318021,-0.590753996,-1.320594002,4.157744444,1.170512619,-0.454443271,3.079671084,4.428365938,3.236215199,2.725037896,3.174958578,0.995222942,-0.10664092,-0.098030255,0.103985237,1.118141784,-0.097824211
TRIM33,0.495934404,1.886571614,-1.437121863,1.609314005,-0.590753996,-1.320589589,2.307236579,2.135056606,2.022357361,0.439972775,0.838915421,0.763599545,0.831696255,0.855701658,-0.251640362,-0.133703205,-0.121918927,-0.246882172,-0.60993141,-0.117238628
CELF2,-0.140620306,0.995147471,-1.281381819,1.606352493,-0.590753937,-1.317326389,2.418285321,2.077532593,1.413806837,0.009001622,-0.181813445,-0.143201931,-0.060044284,-0.132673654,0.233003333,0.100414951,-0.007613774,0.244198175,0.21835499,0.156152776
CLTC,0.409377462,2.647939385,-1.529290525,1.609318003,-0.590753996,-1.320593984,4.274594874,1.080364367,1.036505513,0.946363879,1.819085525,1.380435433,0.820008961,1.749479993,4.84238147,-0.093797963,-0.114927501,0.389824519,1.845751549,-0.049605187
OTUD7A,0.520478093,0.795365114,-1.659070615,1.547270597,-0.590749817,-1.252228314,2.989863225,1.802782818,-0.083227451,0.698555466,0.095338102,1.659856819,2.374419074,0.527874203,-0.373165277,-0.135128492,-0.124314452,-0.263551496,-0.791833851,-0.117385764
CYFIP2,0.558757227,2.110759775,0.200441497,1.609314609,-0.590753996,-1.320590234,3.127785307,1.64900321,1.35903729,1.226495128,1.38645872,1.185367674,1.077129431,1.018799894,-0.032077602,-0.133782929,-0.122712552,-0.23812692,0.208629576,-0.116508942
KDM5C,0.554683681,1.462610204,-1.711974601,1.604048768,-0.590753996,-1.314787912,2.586992679,1.914759468,0.348843421,0.806298254,1.690649442,1.744210444,1.380999077,1.561917021,-0.335615581,-0.130456687,-0.117936013,-0.185919453,-0.518980189,-0.114082518
SMC1A,0.262318111,1.651929733,-1.346645813,1.609289919,-0.590753996,-1.320563053,3.387002746,1.482339677,-0.265792608,0.159841526,1.271542226,1.032476727,0.44601555,1.028585789,7.824308711,2.201062701,1.400080619,6.094651699,6.120458923,2.703236671
SCN8A,0.517264722,2.288366587,-1.673634956,1.609313844,-0.590753996,-1.3205894,4.047509767,1.110943137,2.296205097,1.916048972,1.859644288,2.144890167,1.778367076,2.246929614,-0.33966927,-0.134904379,-0.124301053,-0.257178893,-0.60993141,-0.116833691
SRCIN1,0.462288083,1.226186146,-1.225683055,1.598337817,-0.590753984,-1.308495134,2.108822964,2.144226904,1.194728649,0.84939537,0.940312329,2.039448134,2.701663308,0.94703667,-0.227564315,-0.133442774,-0.122777462,-0.221148042,-0.037256776,-0.11585195
UNC13A,0.533790395,2.373815052,-1.769543112,1.609285564,-0.590753996,-1.320558209,2.970944968,1.670952188,1.243412691,2.088437433,2.549143257,2.440127857,2.830223543,1.795147499,-0.18856648,-0.135087921,-0.124295188,-0.260929632,-0.428028969,-0.117294085
CHD2,-7.137768887,3.054635925,-1.762851387,1.609318018,-0.590753996,-1.320593999,2.497828496,1.920522371,-0.028457904,1.474303541,2.860093772,1.66512892,1.287500724,1.999020295,0.217832694,-0.035286964,-0.038374367,0.886396218,1.027190563,-0.0244281
GRIN2B,-7.136176485,1.752132681,-1.793653001,1.609305555,-0.590753996,-1.320580277,3.479071355,1.374190568,2.174494992,1.969920366,0.717239133,1.638768412,1.684868723,1.437962362,1.308592451,-0.09065645,-0.104630039,0.20254909,1.845751549,-0.055104461
USP9X,0.425518274,2.991798506,-1.743760291,1.609318021,-0.590753996,-1.320594002,3.24478397,1.486553963,1.693740078,1.20494657,3.75914635,2.535025686,1.895240016,3.209209208,0.428042373,-0.126782779,-0.12350307,-0.176913928,0.208629576,-0.106603649
PRKCB,0.519581084,1.378862387,-1.444463078,1.609093493,-0.590753996,-1.32034668,2.414193592,1.909111472,1.766766141,0.202938641,0.149416452,0.199484673,0.18889508,0.115235665,0.497392628,-0.130703584,-0.119589842,-0.10329015,1.845751549,-0.116134232
PRKCE,0.544017962,1.356072568,-0.883932755,1.60905338,-0.590753996,-1.320302399,2.271955838,1.978851372,3.488964124,0.386101381,0.210254596,0.415640839,0.469390138,0.219618537,2.056505981,-0.121194238,-0.11026546,0.047568622,1.845751549,-0.105482541
RYR2,0.584315613,4.340544694,-1.359084548,1.609317859,-0.590753996,-1.320593826,2.572862907,1.793817695,1.803279173,6.452020352,8.051615424,6.694028481,6.044229415,7.118673932,1.050386381,-0.134401232,-0.124160521,-0.233527962,0.481483239,-0.116281618
AP2B1,0.349530824,1.455495936,-1.602505863,1.608505279,-0.590753996,-1.319698458,2.417037749,1.876379389,0.190620285,0.181390083,0.386009236,0.32074301,0.153833198,0.568648762,0.431897204,0.364975952,0.700618411,1.202656325,1.663849108,-0.082053803
DHX30,0.415733003,2.013943909,-1.743819336,1.609316709,-0.590753996,-1.320592557,3.52520533,1.286065314,0.257560842,1.668240559,0.947072122,1.438428551,1.170627783,0.964977476,1.054596383,-0.058916692,-0.12370012,0.199380793,0.936239342,0.007262801
SPTAN1,0.552741987,3.731589898,-1.788575163,1.609318021,-0.590753996,-1.320594002,3.513475154,1.280531919,0.97565046,3.230510987,3.860543257,3.325840927,2.970471072,3.057527848,1.633393055,0.132126434,0.057074631,1.297500049,1.754800329,0.2424998
ACACA,0.580073249,3.599328484,-1.506105669,1.609318021,-0.590753996,-1.320594002,3.94036113,1.03978294,1.851963215,1.991468924,3.887582433,2.651011921,1.860178134,2.904215506,0.20243981,-0.10434418,-0.102080768,-0.110617805,0.117678356,-0.087055136
ZMYND11,-3.289768447,1.50381803,-1.221746746,1.609229084,-0.590753996,-1.320496042,1.986586495,2.076916412,2.466599244,-0.066418329,0.419808205,-0.032487798,-0.280934142,-0.000564082,0.011531221,-0.121954627,-0.106009412,-0.1476183,0.936239342,-0.112946571
ITPR1,-2.071039394,3.481473644,-1.583946168,1.609318021,-0.590753996,-1.320594002,2.892067319,1.586659314,1.876305236,3.973936225,3.732107175,3.378561943,3.414588247,3.491369157,2.142524078,-0.132674979,-0.121253408,-0.136314799,1.754800329,-0.115522205
SPEG,-0.070322651,2.855683796,-0.74885833,1.608806153,-0.590753996,-1.320029985,2.943714155,1.5577054,0.214962306,4.620392954,4.252611299,6.857674515,7.131147765,4.346003915,0.356866849,-0.134589026,-0.124153335,-0.237500602,0.936239342,-0.116206676
CELF1,0.413675327,0.97406147,-1.200943356,1.605939937,-0.590753915,-1.316871817,1.511179144,2.320584059,0.044568159,-0.325001021,-0.141254682,-0.30136498,-0.335864424,-0.147352495,0.349387027,0.163930291,0.266542086,0.933747699,1.071344652,-0.013624477
ARHGEF2,0.52345661,2.041017257,-1.353613079,1.609301498,-0.590753996,-1.32057581,2.263641396,1.915393963,0.738315756,0.644684072,1.372939133,1.058837235,0.691448726,0.625733145,-0.274430116,-0.123362197,-0.105035058,-0.077087037,0.66338568,-0.115702066
DHX15,0.477745873,1.822260323,-1.570070681,1.609311074,-0.590753996,-1.320586359,3.029107619,1.496616443,2.399658686,0.224487198,0.784837071,0.204756775,-0.114974566,0.314215514,4.154555413,4.326467564,5.094301862,8.340433561,3.755727184,2.81667855
KCNMA1,0.403238824,1.714481788,-1.763500878,1.607404672,-0.590753996,-1.31848572,3.29101946,1.355645788,4.061001616,1.420432147,0.987630885,1.122102455,1.322562606,1.005752036,0.869993715,-0.135065244,-0.124314081,-0.255204023,0.390532018,-0.117272602
NBEA,-2.051384027,3.686279932,-1.784107453,1.609318021,-0.590753996,-1.320594002,1.960213407,2.060552581,4.748663708,2.605602816,4.293170062,3.225670996,2.596477661,3.822458576,-0.230514468,-0.072450005,-0.037511404,-0.10424989,-0.155175306,-0.115055066
SLC17A7,0.491914215,0.791150258,-1.039751525,1.59938446,-0.590752859,-1.309649271,2.439933566,1.800727569,4.773005729,0.127518689,-0.269690765,0.2891104,0.434328256,-0.069065342,0.007037881,-0.134971701,-0.12408031,-0.258462608,-0.155175306,-0.117221641
KCNC1,-0.731381802,-0.001309244,-1.360107988,0.900961628,-0.578873505,-0.549173149,3.258903418,1.975543161,2.405744191,0.03055018,-0.425166022,0.547443379,0.901820019,-0.028290783,-0.151948527,-0.135076051,-0.124314452,-0.260499138,-0.518980189,-0.117212898
POLR2B,0.517135631,1.745162591,0.481336468,1.580404806,-0.590753996,-1.288735076,3.547138573,1.213044494,1.699825584,0.429198496,1.312100989,0.731966936,0.352517198,0.932357829,15.55108631,2.748610496,-0.110281734,7.3459231,6.120458923,3.774078404
CACNA1D,-3.44098814,3.436225123,-1.63092601,1.609318021,-0.590753996,-1.320594002,2.783481438,1.59175257,3.160346841,2.47631147,3.258921608,2.77754236,2.654914132,2.574757069,0.232882729,-0.134821112,-0.123950489,-0.246174415,0.481483239,-0.117046027
DNM1,0.511828592,1.572553771,-0.993696716,1.608985465,-0.590753996,-1.320227565,3.022889142,1.454811346,1.608543005,0.181390083,0.744278308,0.900674187,1.01869296,0.426753297,2.30204015,-0.129373399,-0.122585049,-0.046719678,1.118141784,-0.108310305
DDB1,0.56045233,1.920325171,-1.674028587,1.609299175,-0.590753996,-1.320573226,2.844513684,1.546067558,-0.503127312,1.107978061,0.87271439,0.91121839,0.855070843,0.876904429,2.310702377,0.376085959,0.457786961,1.085560881,1.845751549,0.305467748
POLR2A,0.571608325,2.531197376,-1.812507919,1.609317879,-0.590753996,-1.320593846,4.570431176,0.627226181,1.133873597,3.995484783,1.886683463,2.677372429,2.526353897,2.23061979,-0.127164814,0.516959157,0.817020013,6.303782455,5.029044274,-0.07269099
PRKCG,0.497278241,1.414889257,-1.477961063,1.608887381,-0.590753996,-1.320119489,2.4506328,1.742039571,1.413806837,0.267584314,0.44684738,0.557987582,0.597950373,0.154379242,4.002008222,-0.131251127,-0.122749643,-0.119534709,1.845751549,-0.111811623
TNIK,0.502482927,2.130052424,-1.72638149,1.602444805,-0.590753996,-1.313020536,1.703672597,2.143906385,1.23124168,0.903266764,2.413947381,1.148462963,0.796634373,1.235720549,1.554295849,0.002606082,-0.124278983,0.411187392,1.481946666,0.094382553
WHSC1,-4.910842308,2.089339719,-1.731557735,1.609316372,-0.590753996,-1.320592186,1.914086366,2.022220069,0.762657777,1.765209069,1.122826762,1.322442316,1.369311783,1.243875461,-0.373165277,-0.135128492,-0.124314452,-0.263551496,-0.791833851,-0.117385764
BPTF,0.578329695,3.42537071,-1.800502178,1.609318021,-0.590753996,-1.320594002,2.087523732,1.928702193,2.953439663,2.713345604,3.725347381,3.315296724,3.028907542,3.780053035,-0.373165277,-0.102739674,-0.070949629,0.036514554,0.845288121,-0.117385764
CACNA1C,0.558717329,2.671915974,-1.776569422,1.609314193,-0.590753996,-1.320589777,3.282925482,1.285418979,2.247521055,3.208962429,2.833054597,3.130773167,3.367839071,2.582911981,-0.008278193,-0.134316193,-0.123310656,-0.221938206,0.66338568,-0.117225638
RPS6KA3,-3.306831896,1.375345225,-0.101394635,1.609087702,-0.590753996,-1.320340221,2.283873086,1.814456208,1.803279173,-0.540486597,0.723998926,-0.000855188,-0.172242307,0.224511484,-0.131258814,-0.129026104,-0.116294402,-0.06657923,1.845751549,-0.115252413
MED13L,-1.317709049,2.797093354,-1.801033579,1.609318018,-0.590753996,-1.320593999,1.964813376,1.978778455,1.955416804,2.325471567,2.143555628,2.324141621,2.140673192,2.622055557,1.468123734,-0.121767365,-0.114572973,-0.17096589,1.300044225,-0.105271679
PIK3CA,0.498479845,2.204188122,-1.234205162,1.609314384,-0.590753996,-1.320589992,2.695775564,1.568795924,0.726144746,0.03055018,1.575732947,0.394552433,0.038128987,0.759473699,1.952064239,-0.115233989,-0.124290342,-0.143661891,0.936239342,-0.090909856
OGT,0.508013026,1.454376557,-1.26225136,1.60918908,-0.590753996,-1.320451906,2.853423559,1.477992615,1.468576385,-0.15261256,0.96059171,0.563259684,0.305768021,0.723592087,-0.070359041,-0.079846453,-0.057918736,0.609609629,1.209093004,-0.086402641
PHF8,0.516467944,1.223021238,-0.553912654,1.605019084,-0.59075399,-1.315857088,2.204868741,1.824678745,0.604434641,0.181390083,0.974111298,0.753055342,0.609637667,0.74642584,1.639252704,-0.056956068,-0.110696605,0.33643712,1.390995446,0.014050554
DIP2C,-1.118265335,2.61364733,-1.750648831,1.609317625,-0.590753996,-1.320593566,2.934508055,1.431993178,3.342911998,3.370576611,2.07595769,2.208155386,2.73672519,1.555393092,-0.373165277,-0.135128492,-0.124314452,-0.263551496,-0.791833851,-0.117385764
KLHL15,0.448731781,0.300405921,-1.285711758,1.497934096,-0.590320699,-1.198194184,1.841794621,2.09902158,-0.332733166,-0.292678184,-0.256171177,-0.095753017,-0.147698989,0.002697882,-0.159518015,-0.100538603,-0.076882039,-0.065353698,0.035938038,-0.102284913
RPTOR,0.571049536,2.471617716,-1.711147976,1.609317979,-0.590753996,-1.320593957,3.047057514,1.353874229,-0.265792608,2.066888875,1.568973154,1.949822407,2.456230132,1.19494599,-0.038641286,-0.100642988,-0.077282398,0.095908144,0.119333668,-0.110503659
HNRNPA3,0.301705692,0.683261102,-0.938450627,1.591354216,-0.59074915,-1.300803733,1.69011121,2.090124202,1.243412691,-0.411195251,-0.35148427,-0.443711723,-0.592984894,-0.365904132,2.685366783,2.375205932,3.096169288,5.801464641,6.120458923,1.585801682
THOC2,0.537530723,2.219509578,-1.429387017,1.609317823,-0.590753996,-1.320593785,2.78577337,1.490075557,-0.235365082,0.353778544,1.886683463,1.021932524,0.726510608,1.615739439,0.98517789,0.334358777,0.304043899,0.907889893,1.209093004,0.284203311
DLGAP1,0.578896094,1.161894074,-1.501421462,1.592332568,-0.590753962,-1.301878078,1.86402688,1.988338184,2.655249906,0.924815321,0.480646349,1.111558251,1.264126136,0.611054304,0.651496131,-0.13198767,-0.123389476,-0.215108633,0.208629576,-0.112140719
CHD8,-7.13782363,3.42423387,-1.792078478,1.609318021,-0.590753996,-1.320594002,2.769338338,1.488432063,0.06891018,2.013017481,3.914621608,3.062235846,2.012112957,3.227150014,0.540122023,-0.072702889,-0.081707074,-0.05485417,0.936239342,-0.038833714
TBR1,-7.136575113,0.70879359,-1.133927705,1.593657612,-0.590750537,-1.303340746,2.785206958,1.493306364,3.27597144,0.138292968,-0.181813445,0.673973818,1.240751548,0.129914507,-0.373165277,-0.135131503,-0.12425186,-0.263232295,-0.700882631,-0.117385764
ATP2B2,0.532379807,1.642424341,-1.709612816,1.609126309,-0.590753996,-1.320382743,3.251678266,1.227514743,8.138290125,1.679014838,0.582043256,1.628224209,1.988738369,1.044895612,0.553079332,-0.13408588,-0.123570299,-0.226301183,0.66338568,-0.116159212
PDS5B,-0.066881784,2.282883172,-0.978600973,1.609104078,-0.590753996,-1.320358253,1.595975596,2.106507217,2.058870393,0.9355896,1.981320576,0.884857882,0.481077432,1.377616014,-0.052157305,-0.116593424,-0.09406248,-0.155340481,-0.064224086,-0.112615202
CNKSR2,0.519923049,1.492457841,-0.726559143,1.608702662,-0.590753996,-1.31991595,1.56719803,2.11438327,2.50919778,-0.131064002,1.197184494,0.373464026,0.18889508,0.704020298,-0.065074355,-0.134185092,-0.123060287,-0.242038156,0.208629576,-0.117205403
SF3B3,0.524198155,2.064703777,-0.752066422,1.609227599,-0.590753996,-1.320494428,2.699568166,1.505707963,-0.776975048,1.054106667,1.406738102,0.832136866,0.562888491,1.002490071,0.912794309,5.370730473,7.955432952,10.1208305,6.120458923,0.617955528
CELF5,0.443781418,0.812934739,-1.463790353,1.600539414,-0.590753154,-1.310921667,2.314900696,1.717919973,0.659204188,0.03055018,-0.229132002,0.094042641,0.352517198,-0.191389019,-0.170150591,-0.120891606,-0.10522819,-0.133645881,0.016979165,-0.113638186
FRY,0.581153925,3.833290731,-1.758521448,1.609318021,-0.590753996,-1.320594002,1.871763271,1.940867339,1.833706699,3.823096322,4.651439134,3.49982028,3.274340718,3.931734395,-0.163424502,-0.107916626,-0.096156124,0.060768732,0.390532018,-0.090630997
ANKRD17,0.370467915,2.915409379,-1.801289439,1.609318021,-0.590753996,-1.320594001,2.590535452,1.549152051,1.389464817,2.627151373,2.312550473,2.645739819,2.47960472,3.263031626,-0.243440062,-0.134686467,-0.124314452,-0.253837502,-0.428028969,-0.116251641
CSTF3,0.521905657,1.525027549,-1.086003149,1.600609249,-0.590753996,-1.310997971,2.615488879,1.543475289,-0.630922922,-0.098741166,0.825395834,0.020233218,-0.228341318,0.186998889,7.345479345,2.595667504,1.236805646,7.895221266,6.120458923,3.345624547
MYCBP2,0.582879326,5.031846696,0.630128928,1.609318021,-0.590753996,-1.320594002,2.48871606,1.596481238,2.320547118,5.223752567,7.172842227,5.266079761,4.408008244,6.585342699,-0.205131676,-0.128267823,-0.116882028,-0.155177774,-0.246126527,-0.11276621
KDM2A,0.477770127,2.279510116,-1.697115036,1.609317911,-0.590753996,-1.32059388,2.978037614,1.334878311,0.348843421,0.84939537,1.460816452,1.053565134,0.574575785,0.912786041,0.496581698,-0.124507511,-0.11526951,0.418636172,1.209093004,-0.106755657
SMC3,-0.692679372,2.718796394,-1.546944869,1.609318018,-0.590753996,-1.320594001,3.185428789,1.216424576,1.012163492,0.580038399,1.852884494,0.58434809,0.165520492,1.002490071,3.552585403,0.131059196,-0.123920352,1.276675071,1.845751549,0.199585226
ZNF148,0.476993087,0.60874306,-1.411870444,1.443907689,-0.59070553,-1.138368552,1.695569589,2.154051852,2.131896456,0.170615804,-0.134494888,0.014961117,-0.12549313,0.312584531,-0.290534912,-0.128418377,-0.120041064,-0.208719329,-0.518980189,-0.11246237
DHX9,-0.501203428,2.579090946,-1.64623825,1.609317986,-0.590753996,-1.320593965,3.08494135,1.265598214,0.056739169,0.9355896,1.825845319,0.789960053,0.38757908,1.088932136,13.39112797,5.971457313,1.88320257,10.27330449,6.120458923,8.448582292
KHSRP,0.45636453,1.21590128,-1.531790081,1.608612717,-0.590753995,-1.319816841,2.06985778,1.806175058,0.823512829,0.515392726,0.372489648,0.521082871,0.890132725,0.177212995,-0.250238821,0.069443093,0.189594992,0.236981101,0.572434459,-0.116111749
JARID2,-2.086404181,1.69030928,-1.611834914,1.608981444,-0.590753996,-1.320223135,1.679638814,2.011615223,1.249498196,1.711337674,0.865954597,1.396251738,1.567995782,1.049788559,0.827392549,-0.133368046,-0.124298479,-0.245792243,0.572434459,-0.11371755
ATP1A3,-0.255172647,1.739208855,-1.675603111,1.609304155,-0.590753996,-1.320578716,3.852255566,0.855219996,1.736338615,1.161849455,0.514445318,1.064109337,1.299188018,0.690972439,0.202537411,-0.134883119,-0.124314452,-0.257318601,-0.064224086,-0.116931116
ROCK2,0.297544943,2.700002593,-1.644899905,1.609317996,-0.590753996,-1.320593976,2.001172695,1.8399644,0.957393945,0.56926412,2.177354597,0.842681069,0.539513903,1.281388055,-0.077538344,-0.130030306,-0.120620437,-0.095602112,0.66338568,-0.1117128
SUPT6H,0.558298435,3.094399916,-1.781214266,1.609318021,-0.590753996,-1.320594002,2.791693281,1.416224008,0.83568384,1.722111953,2.704618515,1.886557188,1.451122841,1.832660094,0.435848971,-0.059942136,-0.069812557,0.370469931,0.936239342,-0.029690332
ZNF236,0.364499875,2.389516202,-1.264967413,1.609314025,-0.590753996,-1.320589589,2.383867948,1.630321506,1.328609764,2.497860028,1.798806143,2.297781113,2.619852249,2.026746995,0.079640421,-0.089297671,-0.072002015,0.293809541,0.589441428,-0.092181024
RBM10,0.518960369,1.385171362,-1.516536886,1.609103534,-0.590753996,-1.320357714,2.236178072,1.70854791,1.535516942,0.21371292,1.163385525,0.895402085,0.890132725,0.534398133,0.96759267,0.772862848,0.671415556,1.224782702,1.118141784,0.827595741
ARIH1,0.440891517,1.326138062,-0.842680242,1.608500026,-0.590753996,-1.319692669,2.388552998,1.627247349,0.458382515,-0.174161118,0.338690679,-0.064120407,0.006573293,-0.073958289,0.011583824,-0.007951491,0.003377396,0.064201523,0.117678356,0.016994478
HCFC2,0.465428278,1.19584302,-0.187835968,1.595807484,-0.590753977,-1.305707013,1.6084945,2.051286235,-0.965625711,-0.087966887,0.352210267,0.062410031,-0.063550472,0.309322567,-0.373165277,-0.126289447,-0.106687658,-0.200474143,-0.155175306,-0.117385764
SPTBN2,0.556603007,2.962822336,-1.259397536,1.609264183,-0.590753996,-1.320534796,2.168028961,1.740017009,1.35903729,4.297164589,3.732107175,4.2220982,4.045702127,2.915632383,-0.193316518,-0.1350105,-0.124278983,-0.256736444,-0.337077748,-0.117205403
MARK2,-1.736664329,1.492145629,-0.709790469,1.609075871,-0.590753996,-1.320327304,2.443343833,1.590990605,0.45229701,0.364552823,0.500925731,0.51581077,0.399266374,0.302798637,-0.373165277,-0.119978129,-0.092812534,-0.023384912,0.936239342,-0.117385764
USP7,0.516898851,2.696269367,-1.71886314,1.609318016,-0.590753996,-1.320593998,3.143658528,1.21307813,1.553773458,1.097203782,1.93400202,0.700334326,0.691448726,0.814927099,2.05565968,-0.051057348,-0.063322102,0.519476854,1.209093004,-0.031522566
SMARCC2,-2.637347027,2.423869247,-1.751928131,1.609317994,-0.590753996,-1.320593973,2.009576833,1.8157336,1.438148858,1.20494657,1.345899958,0.963939406,1.030380254,0.997597124,6.789034357,0.322085669,-0.105601936,3.513620884,3.300971081,0.471331027
TRIP12,-7.122049592,3.309972252,-1.708923962,1.609318021,-0.590753996,-1.320594002,2.202574112,1.699818171,1.012163492,1.829854741,2.616741195,1.807475664,1.404373665,2.266501402,0.026264444,-0.09857013,-0.085655446,-0.063955099,0.390532018,-0.086834157
NIPBL,0.570051158,4.180698675,-1.787945354,1.609318021,-0.590753996,-1.320594002,2.472909298,1.549026946,2.247521055,2.411665797,4.664958721,2.682644531,1.988738369,3.590859081,-0.065578602,-0.05831017,0.001444034,-0.097063254,-0.064224086,-0.105653259
